ID,Title,Author,Genre,Year,ISBN
1,The Silent Forest,John-Smith,Fantasy,2018,9780000000011
2,The Last Kingdom,Robert-James,Historical,2015,9780000000028
3,Beyond the Stars,Michael-Brown,Science-Fiction,2020,9780000000035
4,Whispers in the Dark,Emily-Clark,Mystery,2017,9780000000042
5,The Hidden Truth,David-Wilson,Thriller,2019,9780000000059
6,Journey to Tomorrow,Sarah-Jones,Adventure,2021,9780000000066
7,The Lost City,Daniel-Taylor,Adventure,2016,9780000000073
8,Shadows of Time,Laura-Anderson,Fantasy,2018,9780000000080
9,The Broken Crown,James-Thomas,Historical,2014,9780000000097
10,Ocean of Dreams,Anna-Jackson,Romance,2022,9780000000103
11,The Forgotten Path,William-White,Mystery,2017,9780000000110
12,Stars Above Us,Olivia-Harris,Science-Fiction,2020,9780000000127
13,The Dark Tower,Christopher-Martin,Fantasy,2013,9780000000134
14,Secrets of the Lake,Sophia-Thompson,Mystery,2019,9780000000141
15,The Final Chapter,Matthew-Garcia,Thriller,2021,9780000000158
16,Across the Desert,Isabella-Martinez,Adventure,2016,9780000000165
17,The Crystal Kingdom,Andrew-Robinson,Fantasy,2018,9780000000172
18,Letters from Home,Charlotte-Lee,Drama,2015,9780000000189
19,The Golden Key,Joseph-Walker,Fantasy,2022,9780000000196
20,Under the Moonlight,Amelia-Hall,Romance,2019,9780000000202
21,The Ancient Scroll,Thomas-Allen,Historical,2014,9780000000219
22,The Midnight Mystery,Evelyn-Young,Mystery,2020,9780000000226
23,Echoes of War,George-Hernandez,Historical,2017,9780000000233
24,The Infinite World,Grace-King,Science-Fiction,2021,9780000000240
25,The Secret Garden,Henry-Wright,Fantasy,2015,9780000000257
26,Chasing Shadows,Lily-Lopez,Thriller,2019,9780000000264
27,The Wandering Soul,Samuel-Hill,Drama,2018,9780000000271
28,Fire and Ice,Elizabeth-Scott,Fantasy,2020,9780000000288
29,The Last Explorer,Benjamin-Green,Adventure,2016,9780000000295
30,The Emerald Sword,Natalie-Adams,Fantasy,2022,9780000000301
31,City of Secrets,Alexander-Baker,Mystery,2017,9780000000318
32,The Broken Mirror,Mia-Nelson,Thriller,2019,9780000000325
