Book ID,Title,Author,Category,Publication Year,Price,Quantity,Availability
1,1984,George Orwell,Fiction,1949,1200,5,Available
2,Animal Farm,George Orwell,Fiction,1945,800,8,Available
3,The Great Gatsby,F. Scott Fitzgerald,Classic,1925,950,4,Available
4,To Kill a Mockingbird,Harper Lee,Classic,1960,1100,6,Available
5,Pride and Prejudice,Jane Austen,Romance,1813,900,7,Available
6,The Catcher in the Rye,J. D. Salinger,Fiction,1951,1000,3,Available
7,The Hobbit,J. R. R. Tolkien,Fantasy,1937,1500,5,Available
8,The Lord of the Rings,J. R. R. Tolkien,Fantasy,1954,2500,2,Limited
9,Harry Potter and the Philosopher's Stone,J. K. Rowling,Fantasy,1997,1800,6,Available
10,The Chronicles of Narnia,C. S. Lewis,Fantasy,1950,1700,4,Available
11,The Alchemist,Paulo Coelho,Fiction,1988,1000,9,Available
12,The Kite Runner,Khaled Hosseini,Fiction,2003,1200,5,Available
13,A Thousand Splendid Suns,Khaled Hosseini,Fiction,2007,1300,3,Available
14,The Book Thief,Markus Zusak,Historical,2005,1400,4,Available
15,The Da Vinci Code,Dan Brown,Mystery,2003,1250,5,Available
16,Angels & Demons,Dan Brown,Mystery,2000,1200,2,Limited
17,Sherlock Holmes,Arthur Conan Doyle,Mystery,1887,1100,7,Available
18,Dracula,Bram Stoker,Horror,1897,950,3,Available
19,Frankenstein,Mary Shelley,Horror,1818,900,6,Available
20,The Picture of Dorian Gray,Oscar Wilde,Classic,1890,850,4,Available
21,The Psychology of Money,Morgan Housel,Finance,2020,1600,5,Available
22,Rich Dad Poor Dad,Robert Kiyosaki,Finance,1997,1400,8,Available
23,Think and Grow Rich,Napoleon Hill,Self-Help,1937,1000,6,Available
24,Atomic Habits,James Clear,Self-Help,2018,1800,10,Available
25,The 7 Habits of Highly Effective People,Stephen Covey,Self-Help,1989,1700,4,Available
26,How to Win Friends and Influence People,Dale Carnegie,Self-Help,1936,1200,7,Available
27,Deep Work,Cal Newport,Productivity,2016,1500,5,Available
28,Digital Minimalism,Cal Newport,Technology,2019,1400,3,Available
29,The Power of Now,Eckhart Tolle,Self-Help,1997,1300,4,Available
30,Man's Search for Meaning,Viktor Frankl,Psychology,1946,1100,6,Available
31,Sapiens,Yuval Noah Harari,History,2011,2000,5,Available
32,Homo Deus,Yuval Noah Harari,History,2015,2100,2,Limited
33,21 Lessons for the 21st Century,Yuval Noah Harari,Society,2018,1900,4,Available
34,A Brief History of Time,Stephen Hawking,Science,1988,1800,3,Available
35,The Universe in a Nutshell,Stephen Hawking,Science,2001,2000,2,Limited
36,Cosmos,Carl Sagan,Science,1980,1600,5,Available
37,Pale Blue Dot,Carl Sagan,Science,1994,1500,4,Available
38,The Selfish Gene,Richard Dawkins,Biology,1976,1700,3,Available
39,A Short History of Nearly Everything,Bill Bryson,Science,2003,1800,6,Available
40,The Gene,Siddhartha Mukherjee,Biology,2016,2200,3,Available
41,Introduction to Algorithms,"Cormen, Leiserson, Rivest, Stein",Computer Science,1990,4500,4,Available
42,Clean Code,Robert C. Martin,Programming,2008,3200,5,Available
43,The Pragmatic Programmer,Andrew Hunt & David Thomas,Programming,1999,3000,6,Available
44,C++ Primer,Stanley B. Lippman,Programming,2012,4000,3,Available
45,Effective Modern C++,Scott Meyers,Programming,2014,3500,4,Available
46,Programming: Principles and Practice Using C++,Bjarne Stroustrup,Programming,2014,3800,5,Available
47,Head First Java,Kathy Sierra & Bert Bates,Programming,2005,2800,2,Limited
48,Python Crash Course,Eric Matthes,Programming,2015,3000,7,Available
49,Automate the Boring Stuff with Python,Al Sweigart,Programming,2015,2500,6,Available
50,Learning Python,Mark Lutz,Programming,1999,3500,3,Available
51,Artificial Intelligence: A Modern Approach,Stuart Russell & Peter Norvig,AI,1995,5000,4,Available
52,Deep Learning,"Ian Goodfellow, Yoshua Bengio & Aaron Courville",AI,2016,4800,2,Limited
53,Hands-On Machine Learning,Aurélien Géron,Machine Learning,2017,4200,5,Available
54,Pattern Recognition and Machine Learning,Christopher Bishop,Machine Learning,2006,4500,3,Available
55,Machine Learning Yearning,Andrew Ng,Machine Learning,2018,2000,6,Available
56,Reinforcement Learning,Richard Sutton & Andrew Barto,AI,1998,4000,4,Available
57,Computer Vision,Richard Szeliski,Computer Vision,2010,4300,3,Available
58,Natural Language Processing,Jacob Eisenstein,NLP,2019,3900,5,Available
59,Speech and Language Processing,Daniel Jurafsky & James Martin,NLP,2000,4500,2,Limited
60,Data Science for Business,Foster Provost & Tom Fawcett,Data Science,2013,2800,6,Available
61,Database System Concepts,Abraham Silberschatz,Database,1997,3800,5,Available
62,Operating System Concepts,Abraham Silberschatz,Operating Systems,1982,3600,4,Available
63,Computer Networks,Andrew S. Tanenbaum,Networking,1981,3500,5,Available
64,Computer Organization and Design,David Patterson & John Hennessy,Computer Architecture,1980,4000,3,Available
65,Modern Operating Systems,Andrew S. Tanenbaum,Operating Systems,1992,3700,4,Available
66,Computer Networking: A Top-Down Approach,James Kurose & Keith Ross,Networking,2000,3900,6,Available
67,Software Engineering,Ian Sommerville,Software Engineering,1982,3500,5,Available
68,Design Patterns,Erich Gamma et al.,Programming,1994,3300,3,Available
69,Refactoring,Martin Fowler,Software Engineering,1999,3200,4,Available
70,Code Complete,Steve McConnell,Programming,1993,3400,5,Available
71,Calculus,James Stewart,Mathematics,1987,2800,7,Available
72,Linear Algebra and Its Applications,Gilbert Strang,Mathematics,1976,3000,5,Available
73,Discrete Mathematics,Kenneth Rosen,Mathematics,1988,2700,4,Available
74,Probability and Statistics,Morris DeGroot,Mathematics,1975,2500,6,Available
75,Numerical Analysis,Richard Burden & J. Douglas Faires,Mathematics,1985,2900,3,Available
76,Physics for Scientists and Engineers,Raymond Serway,Physics,1982,3200,5,Available
77,University Physics,Young & Freedman,Physics,1949,3500,4,Available
78,Fundamentals of Physics,"Halliday, Resnick & Walker",Physics,1960,3300,6,Available
79,Chemistry,Raymond Chang,Chemistry,1991,2800,5,Available
80,Organic Chemistry,John McMurry,Chemistry,1984,3600,3,Available
81,The Art of War,Sun Tzu,Philosophy,Ancient,700,8,Available
82,Meditations,Marcus Aurelius,Philosophy,180,800,5,Available
83,The Republic,Plato,Philosophy,Ancient,900,3,Available
84,Beyond Good and Evil,Friedrich Nietzsche,Philosophy,1886,1000,4,Available
85,Thus Spoke Zarathustra,Friedrich Nietzsche,Philosophy,1883,1100,2,Limited
86,The Odyssey,Homer,Epic,Ancient,950,5,Available
87,The Iliad,Homer,Epic,Ancient,950,4,Available
88,Don Quixote,Miguel de Cervantes,Classic,1605,1300,3,Available
89,Les Misérables,Victor Hugo,Classic,1862,1500,2,Limited
90,War and Peace,Leo Tolstoy,Classic,1869,1800,3,Available
91,The Little Prince,Antoine de Saint-Exupéry,Fiction,1943,850,8,Available
92,The Old Man and the Sea,Ernest Hemingway,Fiction,1952,750,6,Available
93,Fahrenheit 451,Ray Bradbury,Dystopian,1953,1000,4,Available
94,Brave New World,Aldous Huxley,Dystopian,1932,1100,5,Available
95,The Road,Cormac McCarthy,Fiction,2006,1200,3,Available
96,The Fault in Our Stars,John Green,Romance,2012,1000,6,Available
97,The Hunger Games,Suzanne Collins,Dystopian,2008,1300,7,Available
98,The Maze Runner,James Dashner,Science Fiction,2009,1200,4,Available
99,Ready Player One,Ernest Cline,Science Fiction,2011,1400,3,Available
100,The Martian,Andy Weir,Science Fiction,2011,1500,5,Available
